cls,variance
0,10.435611724853516
1,7.435457229614258
2,9.396476745605469
3,8.749530792236328
4,7.813926696777344
5,10.48015308380127
6,6.177279472351074
7,5.903804302215576
8,8.604329109191895
9,8.941426277160645
10,6.747582912445068
11,6.924315452575684
12,5.4467973709106445
13,8.038803100585938
14,6.283900260925293
15,4.979039669036865
16,9.197857856750488
17,7.9077558517456055
18,7.240184307098389
19,7.559745788574219
20,6.952768802642822
21,8.305066108703613
22,9.569940567016602
23,10.552563667297363
24,11.4415922164917
25,8.539108276367188
26,11.139309883117676
27,7.665986061096191
28,10.40878963470459
29,8.008224487304688
30,8.18698501586914
31,8.276904106140137
32,10.947999954223633
33,9.859219551086426
34,8.075457572937012
35,11.483797073364258
36,9.563369750976562
37,8.129301071166992
38,8.467768669128418
39,7.481046199798584
40,9.140935897827148
41,9.21903133392334
42,8.214730262756348
43,9.652791023254395
44,8.831355094909668
45,6.708921909332275
46,6.518585681915283
47,6.978813171386719
48,6.381174564361572
49,8.127509117126465
50,8.459864616394043
51,6.3812665939331055
52,10.197214126586914
53,6.537022113800049
54,8.836893081665039
55,7.405114650726318
56,9.134191513061523
57,7.466859340667725
58,7.868602752685547
59,7.224406719207764
60,5.265993595123291
61,7.499186992645264
62,9.103018760681152
63,7.389153480529785